question_id,system,correctness,completeness,citation_accuracy,uncertainty_handling,hallucination,notes
Q001,lightrag_naive,,,,,,
Q001,lightrag_mix,,,,,,
Q001,haystack_naive_rag,,,,,,
Q002,lightrag_naive,,,,,,
Q002,lightrag_mix,,,,,,
Q002,haystack_naive_rag,,,,,,
Q003,lightrag_naive,,,,,,
Q003,lightrag_mix,,,,,,
Q003,haystack_naive_rag,,,,,,
Q004,lightrag_naive,,,,,,
Q004,lightrag_mix,,,,,,
Q004,haystack_naive_rag,,,,,,
Q005,lightrag_naive,,,,,,
Q005,lightrag_mix,,,,,,
Q005,haystack_naive_rag,,,,,,
Q006,lightrag_naive,,,,,,
Q006,lightrag_mix,,,,,,
Q006,haystack_naive_rag,,,,,,
